Week,Seoul,Busan,Daegu,Incheon,Gwangju,Daejeon,Ulsan,Sejong,Gyeonggi,Gangwon,Chungbuk,Chungnam,Jeonbuk,Jeonnam,Gyeongbuk,Gyeongnam,Jeju
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,3.699056854547668,0.0,0.0,0.0,0.0,0.0,3.3012470886362113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,4.000043427276863,0.0,0.0,0.0,3.000434077479319,0.0,3.477265995424853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,4.000043427276863,0.0,0.0,0.0,3.3012470886362113,0.0,3.699056854547668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3012470886362113
44,0.0,4.602070848554296,0.0,4.361746717975897,0.0,3.3981136917305026,4.301051709845226,4.25529663190434,0.0,0.0,4.041432164680265,4.397957380103888,4.000043427276863,0.0,0.0,3.699056854547668,3.699056854547668
45,0.0,4.977728176785649,5.7781519742071765,4.8750670539461884,3.000434077479319,3.1763806922432702,5.096913487350014,4.95424733490676,0.0,0.0,4.602070848554296,4.653222164656599,4.1761202110560856,3.699056854547668,4.698978690138799,3.9031442704095385,4.079217435746567
46,0.0,5.176094154342576,6.431363925008766,5.1072133625602545,3.9294700161774894,4.0492567972322275,5.5051513354880415,5.406541883546231,2.699837725867246,0.0,4.698978690138799,4.929424035031084,4.342442421031837,4.602070848554296,5.021193435188165,4.477135730961123,4.301051709845226
47,5.217486576293699,5.357936751796636,6.716003427152961,5.149222192747166,4.290056882303365,4.198684573077143,5.658012351149431,5.537820353896035,3.7782236267660965,0.0,4.653222164656599,5.204122696987954,4.544080452586785,4.95424733490676,5.021193435188165,4.62325963061961,4.447173541582463
48,5.217486576293699,5.440910655593099,6.698970091194907,5.152291402784132,4.477135730961123,4.45486009814405,5.728354593785856,5.838849720149092,4.107243897578974,0.0,4.544080452586785,5.267174075934409,4.397957380103888,5.071885687752241,5.033427776713536,4.724284063758994,4.505163549810412
49,5.385608060814725,5.423247512780817,6.568201841443866,5.064461733128728,4.406557211256173,4.414990051283522,5.6794288051770305,5.816241963036288,4.2095418220166,4.447173541582463,4.763435481334283,5.322221362797957,4.763435481334283,5.049221900282173,4.991230507246231,4.602070848554296,4.556314564335347
50,4.903095415639038,5.38381716058202,6.74036276845687,5.025309962363198,4.423262262098614,4.484314078276703,5.625313480094298,5.848189733011504,4.1761202110560856,4.447173541582463,5.049221900282173,5.278755886707245,4.698978690138799,4.832515299342833,5.1072133625602545,4.397957380103888,4.579795025268589
51,4.9345035011500435,5.2922582871389965,6.924279337763602,4.977728176785649,4.459407567166948,4.260095249663711,5.5024284856882035,5.494155985985706,4.021230658479703,4.447173541582463,5.079184865153228,4.342442421031837,4.832515299342833,4.653222164656599,4.000043427276863,4.1761202110560856,4.653222164656599
52,4.361746717975897,5.2966673836624665,6.886490781574359,5.000004342923105,4.553895157605227,4.193152436852078,5.326337909482797,5.326337909482797,3.716086853774832,3.3012470886362113,5.041396633271932,5.322221362797957,4.653222164656599,4.447173541582463,4.913819148625592,3.9031442704095385,4.556314564335347
1,5.049221900282173,5.247975719996016,6.518514071482256,5.060701616810948,4.491375703107734,4.278776457955645,5.217486576293699,5.1986598356449765,3.681331705969166,4.8750670539461884,4.892100170532762,5.301032167130962,4.544080452586785,4.579795025268589,4.77815848856469,4.397957380103888,4.397957380103888
2,5.100373991885488,5.283303490648086,5.7781519742071765,5.060701616810948,4.332458659189203,4.428150998744446,4.929424035031084,5.465384338755741,4.08639542712425,5.060701616810948,4.792398694191473,5.332440479885242,4.301051709845226,4.681250285083047,4.544080452586785,4.63347855533382,4.301051709845226
3,5.089908642274492,5.260073774211937,5.845098660434502,5.173189183130559,4.1461590556048185,4.332458659189203,5.1903345000611365,5.635484752125049,4.290056882303365,5.1205772213030984,4.763435481334283,5.371069710329429,4.079217435746567,4.62325963061961,4.079217435746567,4.832515299342833,4.342442421031837
4,4.698978690138799,5.209517695364492,5.812914024787698,5.195902418607315,4.09694475517694,4.283323847618786,5.235530971868127,5.574032425844793,4.346372536824548,5.209517695364492,5.000004342923105,5.389167856991453,4.000043427276863,4.544080452586785,3.477265995424853,4.8451042441768255,4.380229336938037
5,4.740370585685768,5.113946693020772,6.041393079971211,5.222719071705557,4.130365937265207,4.326356346034385,5.305353519413985,5.474217721437843,4.338476414912923,5.245515135389423,5.000004342923105,5.406541883546231,5.63346946556558,4.447173541582463,3.7782236267660965,4.832515299342833,4.204147125212848
6,4.77815848856469,5.271843928960674,5.740363479119857,5.152291402784132,4.562304762772441,4.46241297331255,5.000004342923105,5.38381716058202,4.305372868641297,5.217486576293699,5.086363390450995,5.371069710329429,5.7558756175919665,4.414990051283522,4.1761202110560856,4.869237588535673,4.1761202110560856
